Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
884,0,0.00183984056478697,-0.0071509687175755,-0.00899080928236247,0.0135542530639935,-0.66332015788065,0.745658569640667,0.24,0.4,0.16,0.0932952303175248,1.71498585142509,0.0431739104918312,0.00429785801567279,0.00935019275099306,0.00505233473532027,0.0098406156682341,0.513416528564306,0.304407773428026,0.745658569640668,0.129521731475494,0.608815546856053,0.745658569640668,50,50,100,0,0,0,1,1,1,0,0,0
885,0,-0.00505190872557395,0.00583218615270265,0.0108840948782766,0.0126595501881047,0.859753681335661,0.196011571855141,0.2,0.4,0.2,0.0916515138991168,2.18217890235992,0.0145481658706261,0.00669816707328559,0.0167521057851864,0.0100539387119008,0.00921596740741199,1.09092602734412,0.138990201609672,0.277980403219345,0.0436444976118784,0.277980403219345,0.277980403219345,50,50,100,0,0,0,1,1,1,0,0,0
886,0,0.0114283772775502,0.0136277161928497,0.00219933891529942,0.0101561985349472,0.216551390535697,0.414504059332422,0.2,0.36,0.16,0.0897997772825746,1.7817416127495,0.0373956887934721,-0.0124270249225635,0.0204324284049022,0.0328594533274657,0.00959120635503686,3.42599795178105,0.000448196826683955,0.414504059332423,0.0747913775869443,0.00134459048005187,0.414504059332423,50,50,100,0,0,1,1,1,1,0,0,1
887,0,-0.000148804624737632,0.0031434844793605,0.00329228910409814,0.0138259812507777,0.238123359520174,0.406141297372726,0.32,0.38,0.06,0.0953939201416946,0.628970902033151,0.264684053092399,0.00690383691339581,0.0167086815629975,0.00980484464960172,0.00945351425938354,1.03716399854895,0.151105902227463,0.529368106184799,0.529368106184799,0.45331770668239,0.529368106184799,50,50,100,0,0,0,1,1,1,0,0,0
888,0,0.00344138403419083,0.0125322585829491,0.00909087454875828,0.0124515127616287,0.730102014333011,0.233534760810696,0.18,0.38,0.2,0.0897997772825746,2.22717701593687,0.0129677227936772,0.0160528159930458,0.0123909195625541,-0.00366189643049175,0.00918690090784363,-0.398599752759418,0.654472355376958,0.467069521621393,0.0389031683810316,0.654472355376958,0.654472355376958,50,50,100,0,0,0,1,1,1,0,0,0
889,0,-0.00988894826652561,0.0143611132395059,0.0242500615060315,0.0108301524083612,2.23912467633508,0.0137044884059727,0.08,0.44,0.36,0.0877268487978452,4.10364677328798,2.0334412043632E-05,-0.010991823127562,0.0292802580742629,0.0402720812018249,0.00931872160208522,4.32163154147811,1.8599930622365E-05,0.0137044884059727,5.5799791867095E-05,5.5799791867095E-05,0.0137044884059727,50,50,100,1,1,1,1,1,1,0,0,1
890,0,-0.0172458567603193,0.0172958704074701,0.0345417271677895,0.0119516756966851,2.89011583349521,0.0023709833862382,0.26,0.44,0.18,0.0953939201416946,1.88691270609945,0.0295860339129297,-0.00379670846219998,0.0250148856908541,0.0288115941530541,0.0104639903553652,2.75340411970864,0.0035148569045409,0.00711295015871461,0.0295860339129297,0.00711295015871461,0.0295860339129297,50,50,100,1,0,1,1,1,1,0,0,1
891,0,-0.00535780668073399,0.0086163000496544,0.0139741067303884,0.0117907057213206,1.18517984085716,0.119406185730007,0.3,0.44,0.14,0.0965608616365865,1.44986278733613,0.0735483931523607,0.000386759361589779,0.0269846780192202,0.0265979186576304,0.00925372117108454,2.8742943693551,0.00248316844122609,0.147096786304722,0.147096786304722,0.00744950532367828,0.147096786304722,50,50,100,0,0,1,1,1,1,0,0,1
892,0,0.00570964061030424,0.00590475325981836,0.000195112649514125,0.0108026287806671,0.0180615897737139,0.492813220638156,0.22,0.34,0.12,0.0897997772825746,1.33630620956212,0.0907246038607101,-0.00272010144793241,0.00378284663731503,0.00650294808524744,0.00918872168392472,0.707709767357964,0.240402614493064,0.492813220638157,0.272173811582131,0.480805228986129,0.492813220638157,50,50,100,0,0,0,1,1,1,0,0,0
893,0,0.0107148820730407,0.0063766865048372,-0.00433819556820352,0.0130699016054179,-0.33192258818576,0.629671724482028,0.22,0.42,0.2,0.0932952303175248,2.14373231428136,0.0160271707152945,0.0130153669942981,0.00419471565769194,-0.00882065133660621,0.0103581215857224,-0.851568623095194,0.801735161031911,1,0.0480815121458835,1,1,50,50,100,0,0,0,1,1,1,0,0,0
